Approval Year,Economy,Sector,Financing Type,Project Name,Status,Objective,Description,Acquirer,Borrower,amount,Financing Amount
2023,China,Transport,Sovereign,China: Yunnan Kunming Changshui Airport Expansion and Green Development ProjectVIEW DETAILS,Approved,To support the green development of an international hub airport in the southwest of China and improve air connectivity to Southeast and South Asia regions.,"The major components proposed to be funded by AIIB loan will comprise:
Component 1: Construction of Airside Infrastructure in the Eastern Part of the Airport;
Component 2: Construction of Aprons and associated lighting system and facilities around Terminal 2;
Component 3: Electrified service vehicles with charging piles, ground power unit and noise monitoring equipment;
Component 4: Technical Support and Capacity Building.",,,500,Approved Financing: USD500 million
—,Türkiye,Transport,Nonsovereign,Türkiye: North Marmara Highway - Nakkaş-Başakşehir BOT ProjectVIEW DETAILS,Proposed,"To improve Istanbul’s connectivity and alleviate its traffic load by developing, building and operating a new toll road corridor under a build-operate-transfer (BOT) concession.","The North Marmara Highway (NMH) is a 438-kilometer (Km) dual carriageway toll road connecting Asia and Europe through the Yavuz Sultan Selim (YSS) Bridge that provides uninterrupted traffic flow across the Bosporus strait. NMH was developed as an alternative route to the European Road 80 (E80) also known as Trans European Motorway (TEM). The first seven sections of the NMH, including the YSS Bridge, have been completed and are under operation.
The Project is the eighth section of the NMH, currently under development. It comprises a new toll road linking the Nakkaş and Başakşehir junctions, and connecting the districts of Arnavutköy, Büyükçekmece and Başakşehir, on the European side of Istanbul. The 4-lane dual toll road’s total length is 30.64 Km, including connecting roads, a 1,619m long cable-stayed bridge at Sazlidere, 18 overpass bridges, 18 underpasses, 10 interchanges, and 5 viaducts.
The Project is part of the General Directorate of Highways (KGM)’s Development Program. It has a total cost of over EUR1.2 billion and a concession term of 20 years, including both the construction and operations phases. The Project’s BOT Agreement contemplates a minimum guaranteed annual average daily passenger car unit volume.
The Project was awarded on June 30, 2020, through an open tender process organized by the General Directorate of Highways (KGM) to a subsidiary of Rönesans Holding A.Ş. (Rönesans or the Sponsor), a diversified holding company with activities in construction, real estate development, energy, and healthcare. The implementation agreement was entered on April 13, 2021. A dedicated long-term investment vehicle managed by Meridiam SAS (Meridiam), a global infrastructure asset manager incorporated in France, is considering investing in the Project. The Project entity and Borrower of the loan is Nakkaş Otoyol Yatırım ve İşletme A.Ş. (the Borrower).
Upon completion, the Project is expected to significantly enhance economic activity of the Istanbul region and contribute to its socio-economic development. As an integral part of the NMH, the Project will also contribute to enhance the east-west road connectivity of the Marmara Region with Europe, as well as with Central Anatolia and the Aegean regions, where the majority of Türkiye’s industrial activity concentrates. Given its urban nature, the Project is expected to positively impact the city’s road network and facilitate its decongestion. Positive effects such as higher vehicle average speeds, shorter journey times, reduced greenhouse gas (GHG) emissions, and improvement in overall road safety conditions are expected.
The Project will also contribute to the uptake of electric vehicles (EV) through the provision of EV charging stations, apply energy efficient technologies like LED lighting and LED information panels, and implement a smart motorway management and monitoring system to support the efficient operation and maintenance of the highway.
The Project incorporates climate change resilience and geotechnical factors in the design of the road and the cable-stayed bridge. Improved design applications, such as elevation of ground level, use of stone mastic asphalt (SMA) and increased culvert and drainage capacity will improve the climate resilience of the Project in the face of extreme heat, flood, landslide, winds, and wildfires, among other incidents. The evaluation of climate resilience aspects was done in accordance with the Joint MDB Methodology for Tracking Adaptation Finance.�",Asian Infrastructure Investment Bank,Nakkaş Otoyol Yatırım ve İşletme A.Ş.,125 ,Proposed Funding: EUR125 million
—,Türkiye,Transport,Sovereign,Türkiye: International Rail Transport and Network Resilience ProjectVIEW DETAILS,Proposed,To improve transport efficiency along the Divriği-Kars-Georgia border railway corridor and to enhance the operational resilience of Türkiye’s national railway network.,"The Project consists of (a) installation of signaling, telecommunication and electrification systems on a 660-kilometer (km) railway section along the Divriği-Kars-Georgia border corridor; and construction/rehabilitation of sidings, bridges, station buildings, and other facilities to increase the existing railway operating capacity and improve operational safety; and (b) deployment of digital technology to strengthen the operational resilience and safety of Türkiye’s national railway network.",Asian Infrastructure Investment Bank,Republic of Türkiye,250 ,Proposed Funding: USD250 million
—,Oman,Energy,Nonsovereign,Oman: Manah-1 Solar PV Independent Power PlantVIEW DETAILS,Proposed,To increase electricity generation from clean renewable energy resources in the Sultanate of Oman.,"The Project involves the development, design, engineering, construction, operation, and maintenance of a 500 MWac Manah solar I photovoltaic power plant in the Ad Dakhiliyah region of the Sultanate of Oman.
The Project is being developed by EDF Renouvelables and Korea Western Power Company Ltd., through a special purpose vehicle, which has entered into a 20-year Power Purchase Agreement commencing from the scheduled commercial operations date (SCOD) with Oman Water and Power Procurement Company SAOC (OPWP) in March 2023. Post the PPA expiry, the Project Company will be eligible to sell the electricity under the spot market regime in Oman.",Asian Infrastructure Investment Bank,EDF Renouvelables (EDFR) and Korea Western Power (KOWEPO),75 ,Proposed Funding: USD75 million
2023,Georgia,Energy,Nonsovereign,Georgia: Georgia Capital Sustainability Linked Financing FacilityVIEW DETAILS,Approved,"The project will achieve the following objectives: (i) mobilize private capital for the first sustainability linked financing in the local capital market, and (ii) enable Georgia Capital to access long term funding to refinance and finance sustainable activities to meet its sustainability targets.","The Project involves an anchor investment of up to USD30 million into JSC Georgia Capital’s upcoming and debut issuance of sustainability-linked bonds in the Georgian capital markets.    Wholly owned by Georgia Capital Plc, JSC Georgia Capital is the leading investment holding company in Georgia with portfolio companies across different sectors: banking, renewable energy, water utilities, education, pharmacy, hospitals & clinics, and other smaller companies.
The Company plans to issue a USD 150 million sustainability-linked, senior unsecured bond, targeting both local and international institutional investors with dollar appetite. The bond proceeds are expected to be allocated as follows: 80% for refinancing the existing Eurobond, and 20% for general corporate purposes.
AIIB investment proceeds will be used to refinance historical investments in the renewable energy.",Asian Infrastructure Investment Bank,Georgia Capital JSC,30,Approved Financing: USD30 million
—,China,Digital Infrastructure and Technology,Sovereign,China: Guangzhou Smart City Project Phase 1VIEW DETAILS,Proposed,"To improve digital infrastructure available to the municipal government and operators of urban infrastructure in Guangzhou. This will result in improved monitoring and maintenance of urban infrastructure and municipal services, enhanced city operations and management and more informed decision-making for urban planning.","The Project constitutes a smart city platform operation in Guangzhou, which will operate a green datacenter, smart city-related telecom network components, data analysis platforms and initial pilot smart city solutions relating to urban infrastructure and management.",Asian Infrastructure Investment Bank,People’s Republic of China,200 ,Proposed Funding: USD200 million
2023,Bangladesh,Transport,Nonsovereign,Bangladesh: Rampura-Amulia-Demra (RAD) Expressway ProjectVIEW DETAILS,Approved,To improve efficiency and resilience of existing road transport connectivity between Dhaka and surrounding areas.,"The scope of the Project is to design, build and operate a 12.5km four-lane access-controlled highway, including an 8.15km elevated section and a 4.35km at-grade section, by way of upgrading an existing two-lane undivided carriageway. The Project starts at the Chittagong Interchange with access to the National Highway N1, connects to the National Highway N2 at the Demra access point, and ends at Rampura Interchange, which is located in a densely populated area in Dhaka. The width of the proposed road will be around 18m in the elevated section and 32m in the at-grade section.
The Project is developed through a Public Private Partnership (PPP) structure. Being one of the key infrastructure PPP projects of the Government of Bangladesh (GoB), the Project was screened by the PPP Authority and granted the in-principle approval from the Cabinet Committee on Economic Affairs (CCEA) of GoB. The Roads and Highways Department (RHD), acting on behalf of the Ministry of Road Transport and Bridges of Bangladesh (MRTB), conducted an open competitive bidding process for the private partner, where Asian Development Bank (ADB) acted as the transaction advisor to RHD. The Sponsors were officially appointed as the preferred bidder, and the PPP Contract was signed between RHD and Sponsors in January 2022. The PPP Contract has a concession period of 25 years, including a 4-year construction period.",Asian Infrastructure Investment Bank,Dhaka RAD Elevated Expressway Company Limited,75,Approved Financing: USD75 million
2023,Brazil,Energy,Nonsovereign,Brazil: BTG Green On-LendingVIEW DETAILS,Approved,To increase renewable energy capacity and contribute to climate change mitigation in Brazil.,The Project is an on-lending facility of up to USD200 million to Banco BTG Pactual S.A. (BTG) to support renewable energy development in Brazil.,Asian Infrastructure Investment Bank,Banco BTG Pactual S.A.,200,Approved Financing: USD200 million
2023,Multicountry,Digital Infrastructure and Technology,Nonsovereign,Multicountry: DigitalBridge Emerging Market Digital Infrastructure FundVIEW DETAILS,Approved,To increase sustainable digital infrastructure capacity and improve quality of mobile and internet connectivity in AIIB members in emerging Asia.,"DigitalBridge Group (“DBRG”) is a leading global-scale Digital Infrastructure (“DI”) investor with over 25 years of experience. DBRG has USD69 billion of assets under management across 27 portfolio companies globally as of March 31, 2023.
DBRG sponsors parallel vehicles for platform investments alongside its flagship series funds (the “Main Funds”) in existing and future portfolio companies. The platform investment strategy can enhance DI companies’ cash flows through economies of scale and reduce risks by combining DI assets in the region.
A parallel fund for AIIB (the “Fund”) will be formed to aggregate AIIB’s investments with a 10-year term including a 4-year investment period. The Fund will provide growth capital to eligible DI platform businesses located in AIIB Region 1 Members in emerging Asia across 5 key verticals: data center, cell tower, fiber cable network, small cell, and edge infrastructure.
DBRG targets net zero GHG emission by 2030 and collaborates with BSR and Climate Impact Partners to train portfolio companies on climate change and energy management. DBRG’s definition of net zero and approach are aligned with the SBTi. The Project Team expects climate mitigation and adaptation share of AIIB’s investment to be 50 percent and 10 percent respectively.
With the objective of 1) maximizing AIIB’s investment visibility, and 2) building a diversified portfolio, the Project Team proposes the following capital allocation structure:
a) 60% pre-identified deals

20% in EdgePoint, a wireless communications infrastructure provider in Indonesia, Malaysia and Philippines
20% in Vantage APAC, a wholesale hyperscale data center operator in Malaysia and Hong Kong, China
20% in AIMS, a retail edge infra and colocation data center operator in Malaysia, Thailand, and Singapore

b) 40% indicative deals of DI assets in AIIB’s Region 1 members",Asian Infrastructure Investment Bank,DigitalBridge Group,,Approved Financing:
2023,Multicountry,Multi-sector,Sovereign,Multicountry: Guarantee Facility of International Bank for Reconstruction and Development LoansVIEW DETAILS,Approved,To improve AIIB’s balance sheet structure and provide greater lending capacity to both AIIB and IBRD.,"The proposed Project responds to a recommendation made in November 2022 by the G20 Capital Adequacy Frameworks (CAF) working group for multilateral development banks (MDBs) to expand the use of financial innovation to provide additional lending headroom.
This Project would enable the Asian Infrastructure Investment Bank (AIIB) to deploy some of its capital surplus to provide a Guarantee facility to the International Bank for Reconstruction and Development (IBRD), thereby diversifying AIIB’s sovereign-backed lending exposure and enhancing AIIB’s lending capacity to members with lower credit ratings, as well as alleviating existing constraints on IBRD’s capital adequacy limits on providing financing.
This Project will comprise a series of Guarantees in the maximum aggregate amount of one billion USD covering IBRD loans previously approved to various members of AIIB.",Asian Infrastructure Investment Bank,,1000,"Approved Financing: USD1,000 million"
2023,Côte d'Ivoire,Transport,Sovereign,Côte d’Ivoire: Inclusive Connectivity and Rural Infrastructure ProjectVIEW DETAILS,Approved,To provide inclusive and climate resilient rural road connectivity in selected underserved regions of Côte d’Ivoire.,"The Project will involve upgrading and climate proofing of strategic and non-strategic roads in eleven regions of northern Côte d’Ivoire. It will provide climate resilient transport connectivity and improve access to schools, health services, and centers of economic activity in northern Côte d’Ivoire. The Project will also support the development of climate resilient rural socio-economic infrastructure including key infrastructure in the agricultural logistics chain which, together with the enhanced connectivity, will facilitate trade notably with Asia. Finally, the Project will build institutional capacity to foster the sustainability of the road sector, in areas such as road safety, road asset management, and road maintenance planning and execution. The Project will be co-financed with the World Bank (WB), through the International Development Association (IDA). The Project will comprise 5 components:

Inclusive and resilient rural connectivity infrastructure. This is the largest component of the Project. It will involve the construction and rehabilitation of climate resilient strategic roads, periodic and routine climate-resilient maintenance, and climate-resilience improvement of the non-strategic network.
Rural socio-economic infrastructure, which will include consolidation of the agricultural logistics chain.
Capacity building and support to the institutional framework and sector strategies, to enhance institutional and sector frameworks for sustainability of the development objectives.
Support to project management.
Contingency emergency response component.

AIIB will jointly co-finance the Project with the World Bank (IDA). The AIIB financing will be allocated to component 1, component 2.1, and component 3.",Asian Infrastructure Investment Bank,Gilbert Ekpini,200,Approved Financing: USD200 million
—,Philippines,Transport,Sovereign,Philippines: Manila Metro Rail Transit Line 4 (MRT4) ProjectVIEW DETAILS,Proposed,To improve urban mobility and reduce greenhouse gas (GHG) emissions along MRT4 corridor.,"The Program will support the construction of a high-capacity railway mass transit system intended to serve the eastern side of Metro Manila from the Epifanio de los Santos Avenue (EDSA)-Ortigas Ave. Junction to Taytay in Rizal Province (i.e., the MRT4 Line). The system will include an elevated viaduct of 12.7 km and 10 stations; and has a barrier-free design to allow inclusive access. The Phase 1 of the Program (the Project) will be jointly co-financed by the Asian Development Bank (ADB) and the Asian Infrastructure Investment Bank (AIIB) to provide a portion of the Program’s total cost.",Asian Infrastructure Investment Bank,Republic of the Philippines,537.4 ,Proposed Funding: USD537.4 million
—,India,Energy,Nonsovereign,India: ENGIE Solar Power ProjectVIEW DETAILS,Proposed,To promote electricity generation from solar energy resources through private capital mobilization in Gujarat.,"The Project involves the development, construction and maintenance of a 400MWAC solar power project in Gujarat, India. (Project)
Offtake of the Project is underpinned by a 25-year Power Purchase Agreement (PPA) for 100% of the capacity that is signed with Gujarat Urja Vikas Nigam Limited (GUVNL) at a tariff of INR2.49 per kWh.",Asian Infrastructure Investment Bank,Solairedirect Energy India Private Limited (SEIPL),88.5 ,Proposed Funding: USD88.5 million
—,Bangladesh,Energy,Sovereign,Bangladesh: Electricity Distribution Modernization (Rajshahi-Rangpur Divisions) ProjectVIEW DETAILS,Proposed,To improve access and enhance operational efficiency (through reduction in losses) and capacity of the distribution system in select regions.,"Bangladesh Rural Electrification Board (BREB), one of the major energy sector state-owned entities in Bangladesh, is responsible for extending electricity distribution services to the country’s rural areas. The entity, through its 80 (eighty) rural electricity clusters, the ""Palli Bidyut Samities"" (PBSs), organized under eight divisions, collectively serves more than 77 percent of the country's electricity consumers. Out of 80 PBSs, Rajshahi and Rangpur divisions have 21 PBSs that provide services to around 8.4 million consumers (including industrial and commercial users).
Considering the socio-economic development and the Government of Bangladesh’s (GoB) target to develop multiple Special Economic Zones in the country’s northwestern part, BREB anticipates an increase in consumer demand for reliable electricity supply in Rajshahi and Rangpur divisions. In order to (i) cater to the expected additional demand, (ii) decongest the network, and (iii) reduce distribution losses, BREB has initiated this project to increase the capacity and modernize the distribution network in Rajshahi and Rangpur divisions. The following activities are planned in the project scope:

Installation and augmentation of 33/11kV 116 substations with a total capacity of 1,385 MVA
Construction and modernization of around 19,500 km of distribution lines
Installation of river-crossing towers, Supervisory Control and Data Acquisition (SCADA) System, and fault locators.
",Asian Infrastructure Investment Bank,People’s Republic of Bangladesh,350 ,Proposed Funding: USD350 million
—,China,Urban,Sovereign,China: Shaanxi Ankang Green and Low-Carbon Demonstration Urban Development ProjectVIEW DETAILS,Proposed,"To develop a resilient and low-carbon New District in Ankang City through planning, designing, implementing, and delivering green, as well as resilient, urban infrastructure.","Ankang City is located along the Han Jiang River and in Qin-ba Mountains. Overly crowded urban area and frequent flood disasters have been the two core challenges impeding Ankang City’s social and economic development. The Project aims to support the Ankang City’s sustainable development of the Wuli Industrial Zone - East City New District (the “New District”) to serve as a demonstration on the planning, designing and implementation of a green, resilient and low-carbon urban district.
The Project will finance key infrastructures of the New District with climate resilience features, including: (1) climate resilient urban transport infrastructure; (2) multi-purpose green corridors, with main purpose of flood prevention and waterlogging management; and (3) city management and data center, a green building equipped with digital platform and city operation system to improve efficiency. In addition, project management support will also be financed to improve project quality and enhance environmental and social risk management.",Drazen Kucan,Jikang Wang,300 ,Proposed Funding: USD300 million
—,China,Urban,Sovereign,China: Yingkou Green Smart Trade Zone Development ProjectVIEW DETAILS,Proposed,To promote trade and investments in Yingkou City through upgrading intelligent and low-carbon infrastructure in Yingkou Free Trade Zone and Liaohe Economic Development Zone.,"Yingkou is an important coastal city in Liaoning province in Northeast China. It is closely connected to East Asian and Pacific economies through the Yingkou port, located in Liaodong Bay, while the extensive railway network makes it a trade and logistics hub in the Northeast China. The inland road/rail connections facilitate trade nationally and, at the same time, international rail corridors (China Railway Express) provide trade linkages to Central Asia and Eastern Europe.
The Project will further assist in the development of the city and Yingkou port as regional logistics hub and increase economic growth by diversifying imports and exports. The Project is supporting the following components:

Component 1: Liaohe Economic Development Zone (Liaohe EDZ) South Expansion: Liaohe EDZ will be expanded by financing priority infrastructure over an additional area of approximately 4 square kilometers.
Component 2: Yingkou Free Trade Zone (Yingkou FTZ): development of priority infrastructure and facilities within the dry port hub industrial park and comprehensive bonded zone to address infrastructure gaps within the Yingkou FTZ. A new railway station, with dedicated railway tracks, loading and unloading yards and other ancillary infrastructure are also proposed under this component to serve the FTZ through rail transport.
",Asian Infrastructure Investment Bank,People’s Republic of China ,200 ,Proposed Funding: USD200 million
2023,Romania,Energy,Nonsovereign,Romania: Banca Transilvania Green Mortgages Bond InvestmentVIEW DETAILS,Approved,The project objective is to support climate change mitigation in Romania by financing retail purchases of dwellings in residential green buildings.,"The proposed project will finance a portfolio of new green mortgages in Romania via an AIIB investment of up to EUR100 million into a privately placed, Tier 2 bond issued by Banca Transilvania S.A. (BT), the largest bank in Romania. The issuance will be under the bank’s Medium-Term Note (MTN) program. Total issuance size is expected to be EUR200 million with IFC financing the remaining EUR100 million.",,,100,Approved Financing: EUR100 million
2023,Uzbekistan,Energy,Nonsovereign,"Uzbekistan: Surkhandarya 1,560MW CCGT Power PlantVIEW DETAILS",Approved,To increase the availability of high-efficiency gas-fired power generation capacity in line with the power sector decarbonization strategy of the Republic of Uzbekistan.,"The Project involves the design, construction, maintenance and operation of a greenfield combined-cycle gas turbine (CCGT) power plant of 1,590MW capacity and associated infrastructure in Surkhandarya region in Uzbekistan. The Project is being developed by Stone City Energy (SCE, 25%), EDF (15%), Siemens Energy (25%) and Nebras Power (35%), through a dedicated project company SCE-Quvvat LLC.
Consistent with the Uzbekistan Ministry of Energy’s “Concept note for ensuring the electricity supply in Uzbekistan in 2020-2030”, the Project is supported by a 25-years Power Purchase Agreement (PPA) signed between SCE-Quvvat and JSC National Electric Grid of Uzbekistan in April 2021, as amended and restated in May 2023. The Project is developed using Siemens Energy’s SGT5-9000HL turbines with baseload efficiency of more than 60 percent. The Project is expected to be operational in January 2027.",,,225,Approved Financing: EUR225 million
—,India,Transport,Sovereign,"India: Manipur Urban Road, Drainage and Asset Management Improvement ProjectVIEW DETAILS",Proposed,"To improve the connectivity, safety, and sustainability of the urban and sub-urban road and drainage networks in Greater Imphal, and to enhance the road asset management capacity of Manipur's Public Works Department.","The proposed Project will support the rehabilitation, the upgrade (without capacity expansion), and the maintenance of 521 km-long secondary road infrastructure, bridges, and culverts in Greater Imphal. The civil works will consist of the reconstruction of existing asphalt-paved roads into rigid concrete roads, including road safety improvement, pedestrian walkway, street lighting and utility ducts. To address frequent drainage issues that affect the living conditions of local residents, continuous lined storm water drains and local side drains will be provided. The proposed Project will strengthen PWD's capacity to manage Manipur road asset and ensure the sustainability of the infrastructure network through enhanced human and financial maintenance resources.",Asian Infrastructure Investment Bank,Republic of India,352.40 ,Proposed Funding: USD352.40 million
2023,Bangladesh,CRF-Economic Resilience/PBF,Sovereign,Bangladesh: Bangladesh Sustainable Economic Recovery Program (Subprogram 2)VIEW DETAILS,Approved,To help the Government of Bangladesh implement critical policy reforms to accelerate economic recovery from the COVID-19 pandemic.,"The Program will be a policy-based loan (PBL) to further advance the key reform agenda and deepen policy reforms supported under the Subprogram 1 in order to: (i) create additional fiscal space needed for higher expenditures on critical social and physical infrastructure by strengthening Public Financial Management systems; and (ii) improve access to finance for underserved market segments, i.e., cottage, micro, small, and medium-sized enterprises (CMSMEs) and associated employment, in line with the Bangladesh Eighth Five Year Plan, 2021–2025. This is to be supported under AIIB’s COVID-19 Crisis Recovery Facility (the Facility) and co-financed with the Asian Development Bank (ADB).",Asian Infrastructure Investment Bank,Md. Shahriar Kader Siddiky,400,Approved Financing: USD400 million
—,Cambodia,Water,Sovereign,Cambodia: Climate Adaptive Irrigation and Sustainable Agriculture for Resilience Project (CAISAR)VIEW DETAILS,Proposed,"The Project objective is to support the Government of Cambodia (GoC) to increase irrigation service efficiency, strengthen climate adaptive capacity against extreme weathers, and improve productivity of smallholder farmers and vulnerable rural communities in four provinces of Cambodia.","To achieve the Project objective, the Project aims to: (i) improve irrigation service efficiency through climate adaptation solutions and enhanced engagements in sustainable water-use practices at the farm- and scheme-level; and (ii) develop, modernize, and climate-proof flood management systems.",Asian Infrastructure Investment Bank,Kingdom of Cambodia,100 ,Proposed Funding: USD100 million
—,Viet Nam,Energy,Nonsovereign,Viet Nam: Viet Nam Gia Lai Wind Power ProjectVIEW DETAILS,Proposed,The objective of the project is to increase the electricity generation capacity from wind energy resource in Viet Nam.,"The Project involves the development, construction, and operation of a 99-megawatt wind generation facility, comprising 30 turbines of 3.3 MW each, in Gia Lai province, Viet Nam.",Asian Infrastructure Investment Bank,Dien Xanh Gia Lai Investment Energy Joint Stock Company,60 ,Proposed Funding: USD60 million
—,Viet Nam,Energy,Nonsovereign,Viet Nam: Dak Lak Wind Power ProjectVIEW DETAILS,Proposed,"To provide long-term financing for the construction of four wind farms in Viet Nam with an aggregate installed capacity of 200MW, through two phases.","The Project involves developing, constructing, and operating four 50MW wind farms in Dak Lak Province, Viet Nam with a total installed capacity of 200MW. Initial site work of the Project commenced in 2021. Commissioning is expected in 2023, subject to updates on the feed-in tariff regime in the country. The Project is expected to receive feed-in tariffs through long-term power purchase agreements with Vietnam Electricity (EVN).
The Project will be developed through two phases: (i) Phase 1 is comprised of three 50MW sub-projects namely Krong Buk 1 (KB1), Krong Buk 2 (KB2), and Cu Ne 1 (CN1); and (ii) Phase 2 is to develop the 50MW Cu Ne 2 (CN2) sub-project.",Asian Infrastructure Investment Bank,Krong Buk New Energy Investment Company Limited,100 ,Proposed Funding: USD100 million
2023,"Hong Kong, China",Multi-sector,Nonsovereign,"Hong Kong, China: Project OceanVIEW DETAILS",Approved,To mobilize private capital into emerging market infrastructure through supporting the continued development of the infrastructure asset backed securities market in Asia.,"The Project will mobilize private capital into emerging market infrastructure through supporting the continued development of the infrastructure asset backed securities market in Asia. This will be achieved through an up to USD300 million investment program into issuances of infrastructure asset backed securities sponsored by the Hong Kong Mortgage Corporation (HKMC).
Incorporated in 1997, HKMC is wholly owned by the Government of the Hong Kong Special Administrative Region of the People’s Republic of China (HKSAR Government). The Infrastructure Financing and Securitization (IFS) Division of HKMC was formed in 2019 to execute the purchase, warehousing, and securitization of infrastructure loans. As part of the Project, IFS will develop a climate strategy for its securitization business that is in alignment with the goals of the Paris Agreement and decarbonize its portfolio in future infrastructure asset backed securities issuances.
The Project will contribute to the track record of primary issuances and provide valuable market benchmarks, which are both key conditions for developing the infrastructure securitization market in Asia. This will result in the creation of a robust ecosystem for development of the Asian infrastructure asset class, mobilize inbound investment by institutional investors, and set new precedents for capital markets development in the region.",Asian Infrastructure Investment Bank,Hong Kong Mortgage Corporation,300,Approved Financing: USD300 million
2023,Singapore,Transport,Nonsovereign,Singapore: Regional Transport Connectivity ProjectVIEW DETAILS,Approved,To support the Company in reducing its carbon intensity of fleet on the China-India route.,"The Project involves providing a senior, secured, sustainability-linked loan to Moulmein Shipping PTE. LTD., Tomlinson Shipping PTE. LTD., and Camphor Shipping PTE. LTD., wholly owned subsidiaries X-Press Feeders Limited for the purchase of three 7,000 twenty-foot equivalent units (TEUs) new-build container ships to be primarily deployed on the China-India shipping route. XPF’s current fleet is aged with an average life of approximately 14 years compared to the typical useful life of a vessel of 25 years. As a result, it has embarked on a fleet replacement program that involves selling off the older vessels and replacing them with newer, more efficient vessels.",Asian Infrastructure Investment Bank,Capt. Mayank Singh,70,Approved Financing: USD70 million
—,Philippines,Transport,Sovereign,Philippines: Laguna Lakeshore Road Network (Phase 1) ProjectVIEW DETAILS,Proposed,To contribute to urban mobility improvement in the National Capital Region (NCR) and key areas along the Laguna de Bay.,"The Laguna Lakeshore Road Network (LLRN) Program comprises about 37.4 kilometers (km) expressway from Lower Bicutan in NCR to Calamba in Laguna Province, consisting of (i) 11.7 km long viaduct from Lower Bicutan to Tunasan; and (ii) 25.7km long combination of shoreline viaduct and embankment from Tunasan to Calamba. The expressway will be an access-controlled road with eight interchanges, with an access road at each interchange to connect to the existing road networks. The Program will also finance capacity building activities to improve the government’s operation and maintenance (O&M) and administration/management capacities for LLRN and large-scale interchanges. The Program is expected to be financed in three phases. 
The Project is the first phase of the Program and will finance the first group of the civil works and consulting service contracts awarded under the Program.",Asian Infrastructure Investment Bank,Republic of the Philippines,300 ,Proposed Funding: USD300 million
2023,India,Multi-sector,Nonsovereign,India: LOK Capital Fund 4VIEW DETAILS,Approved,To contribute to green and technology-enabled infrastructure development and related services end-use mainly in the Indian market.,"Lok Capital IV LLC (the Fund) is a closed-end private equity fund focused on investing in businesses that leverage technology to provide infrastructure and related services across financial services, climate, health, and agriculture sectors, primarily in India. With a target size of up to USD200 million, the Fund aims to make technology-enabled impacts by investing in early and growth stage companies in the sectors mentioned.",Asian Infrastructure Investment Bank,Lok Impact Advisors Private Ltd.,30,Approved Financing: USD30 million
2023,Uzbekistan,Multi-sector,Nonsovereign,"Uzbekistan: UzPSB Energy and Water Efficiency, and Renewables Bond InvestmentVIEW DETAILS",Approved,The project objective is to improve energy and water efficiency and contribute to the expansion of renewable energy supply in Uzbekistan.,"The project will finance a portfolio of renewable energy, and energy and water efficiency sub-projects in Uzbekistan via a non-sovereign backed investment of up to USD25 million into a five-year, USD-denominated private placement bond issuance by UzPSB, the second-largest state-owned bank in Uzbekistan.
The issuance will be the first Sustainable Bond under UzPSB’s Sustainable Finance Framework, which is aligned with ICMA’s Green and Social Bond Principles.",Emily Zhou,Ismoiljon Najmiddinov,25,Approved Financing: USD25 million
—,Lao PDR,Energy,Nonsovereign,Lao PDR: Xekaman Cross-border Hydropower ProjectsVIEW DETAILS,Proposed,"To support the mobilization of private capital and reduction of the sovereign debt burden through the refinancing of the existing debt of Xekaman 1 Hydropower Plant, Xekaman Xanxay Hydropower Plant, and Xekaman 3 Hydropower Plant in Lao PDR.","The Xekaman Hydropower Plants (the Project) consists of three hydropower plants as follows:

Xekaman 1 Hydropower Plant: contracted capacity of 290MW; operational since 2016.
Xekaman Xanxay Hydropower Plant: contracted capacity of 32MW; operational since 2018.
Xekaman 3 Hydropower Plant: contracted capacity of 250MW; completed in 2013 operational again since 2022 after civil work and repair.

The Project’s power output is purchased by Viet Nam Electricity (EVN). The refinancing of the Project involves the elimination of the implicit sovereign support through Viet Nam Development Bank (VDB) and sovereign guarantee from the Government of Viet Nam by mobilizing private capital. The VDB’s freed-up capital potentially contributes to promote industrial, agricultural and infrastructure development.",Asian Infrastructure Investment Bank,Xekaman 1 Power Company Limited,90 ,Proposed Funding: USD90 million
—,China,Transport,Sovereign,China: Hunan Inland Waterway Green Port ProjectVIEW DETAILS,Proposed,The objective is to improve the efficiency of the waterfront resource and support a sustainable and comprehensive Low-Carbon transport infrastructure along the Yangtze River and its tributary in Hunan province by promoting good practices of the green port concept.,"The project will construct three new inland port terminals in Hunan province to improve the efficiency of waterfront resources utilization of Yangtze River and its tributary. The work scope of terminal construction includes both hydraulic structures and land-side logistic infrastructure and ancillary equipment and facilities. The project will promote the Green Port concept and the Climate risk resilience and adaptation measures during the design and construction. The project will also provide technical assistance in Infratech components and institutional capacity building. The physical components funded by AIIB loan will comprise:

Component 1: Daorenji Universal Terminal on Yangtze River, construction of six berths, associated port facilities and handling equipment.
Component 2: Songyanghu Universal Terminal on Yangtze River, construction of six berths, associated port facilities and handling equipment.
Component 3: Songmu Universal Terminal on Xiangshui River, construction of three berths, associated port facilities and handling equipment
Component 4: Technical assistance to support the Infratech components and institutional capacity building.
",Manuel Benard,Jikang Wang,200 ,Proposed Funding: USD200 million
